strategy,date,signal_date,observations,assets,covariance_condition_number,minimum_eigenvalue,maximum_eigenvalue,covariance_rank,average_pairwise_correlation,maximum_pairwise_correlation,minimum_pairwise_correlation,minimum_expected_return,maximum_expected_return,expected_return_dispersion,optimization_status,objective_result,fallback_indicator
momentum_max_sharpe,2020-07-31,2020-06-30,251,5,28.19809063829151,0.03243831183317367,0.914698457224995,5.0,0.6204941802289131,0.7951830757769753,0.43790914899538236,0.16516815162878373,3.8389547096858347,1.476481097233462,optimized,,False
momentum_max_sharpe,2020-08-31,2020-07-31,251,5,28.910102688457044,0.03309127591182432,0.9566721847029067,5.0,0.6124549315177236,0.8052658307227846,0.4215120617214351,0.3436012662789494,5.1496545249364285,1.9337640051262792,optimized,,False
momentum_max_sharpe,2020-09-30,2020-08-31,251,5,25.19361225398645,0.03834238707617422,0.965983232889394,5.0,0.5895929137300934,0.7695154078006814,0.392067288356326,0.610587773287949,10.179876030860878,4.003484901420936,optimized,,False
momentum_max_sharpe,2020-10-30,2020-09-30,251,5,56.04920485738599,0.01793653819078656,1.0053287034877223,5.0,0.5329218691030881,0.7720391367749697,0.15671186498705336,0.22699649492277918,7.899511027550142,3.208591911476004,optimized,,False
momentum_max_sharpe,2020-11-30,2020-10-30,251,5,55.31700732332795,0.017581630349479103,0.9725631747981802,5.0,0.5309137149422363,0.7674174687914436,0.1757639293185722,0.20120390989935388,5.237737783404345,2.1683223311604802,optimized,,False
momentum_max_sharpe,2020-12-31,2020-11-30,251,5,43.21471405563726,0.02014218985270534,0.8704389749390191,5.0,0.4042866881018594,0.7551154577164848,0.1702456674111732,-0.0710801999509787,7.547397264002196,3.2861838168969846,optimized,,False
momentum_max_sharpe,2021-01-29,2020-12-31,251,5,21.297173615842155,0.046654306776504076,0.993604871345969,5.0,0.48846464663282135,0.7602299656627055,0.2800817269126629,-0.3682511410247744,7.030607212383748,3.139990344875771,optimized,,False
momentum_max_sharpe,2021-02-26,2021-01-29,251,5,29.208639932141857,0.039541228252404755,1.1549454984991243,5.0,0.5303020879687372,0.8661426310728694,0.28019988215249614,-0.22129744816791852,5.142819780962997,2.314399860626358,optimized,,False
momentum_max_sharpe,2021-03-31,2021-02-26,251,5,26.891398049053315,0.04193155503715254,1.1275981373198514,5.0,0.5490727682830137,0.866020896931461,0.2968105638022258,0.13536790892090056,4.0889654880773065,1.7116098243561078,optimized,,False
momentum_max_sharpe,2021-04-30,2021-03-31,251,5,30.20237525996081,0.015659161453747926,0.47294387048240805,5.0,0.4578232376395216,0.9087687060477376,0.24284107523207535,0.6136341496800684,0.8761913367291783,0.12921034164243725,optimized,,False
momentum_max_sharpe,2021-05-28,2021-04-30,251,5,26.7207043310628,0.012270642758711005,0.32788021710761356,5.0,0.4104115466476605,0.912017606765518,0.06351026769272208,0.22160570555766834,0.7907173669658405,0.22445981646150762,optimized,,False
momentum_max_sharpe,2021-06-30,2021-05-28,251,5,11.712188909294113,0.027073915980197108,0.31709481847442517,5.0,0.44174630723808866,0.6578641006260935,0.26899818357888877,0.32094768732290113,0.8517543926236646,0.22267164915182527,optimized,,False
momentum_max_sharpe,2021-07-30,2021-06-30,251,5,18.277736950006336,0.01757933074870635,0.32131038318201255,5.0,0.37350864202519124,0.7102907273677792,-0.06888203514149337,0.3377581679663215,1.1075789203577515,0.2958190790513135,optimized,,False
momentum_max_sharpe,2021-08-31,2021-07-30,251,5,20.420202616091803,0.015966216651094985,0.32603337902777807,5.0,0.5676916578691167,0.7049642101354081,0.3953955944971536,0.3670863362442407,0.8435902507319506,0.2438218824813384,optimized,,False
momentum_max_sharpe,2021-09-30,2021-08-31,251,5,25.843258986207875,0.012207476743322713,0.3154809830457985,5.0,0.5802801046077444,0.7480448045545487,0.4022687425808249,0.13940745854136893,0.7524223974948363,0.2455173890632356,optimized,,False
momentum_max_sharpe,2021-10-29,2021-09-30,251,5,24.07855424850644,0.013070944664951662,0.31472945019426407,5.0,0.27451240591662485,0.705030091133158,-0.07629711705847858,0.29794438028740067,0.8010411515352107,0.24236988905540216,optimized,,False
momentum_max_sharpe,2021-11-30,2021-10-29,251,5,19.736984189466444,0.017897034920564665,0.35323349526551373,5.0,0.23183316563126496,0.6013338403782059,-0.09639940974280121,0.4232330563552742,1.8829257035909763,0.5671370182224575,optimized,,False
momentum_max_sharpe,2021-12-31,2021-11-30,251,5,21.86289076813758,0.015991583385145097,0.3496222407589904,5.0,0.20392794136385675,0.4846100540412899,0.01359227429042999,0.3599884471653072,1.4515905360464911,0.4687802366411526,optimized,,False
momentum_max_sharpe,2022-01-31,2021-12-31,251,5,16.526928407564245,0.02259231822584614,0.3733816258794681,5.0,0.20502033287047952,0.4377375851032114,-0.021078167147518482,0.3477148792556586,1.252004410439175,0.3634360555290321,optimized,,False
momentum_max_sharpe,2022-02-28,2022-01-31,251,5,21.46511676809058,0.007254511400101882,0.15571893429863065,5.0,0.293936467789378,0.8897243537540218,0.05566157446289609,0.16195822133601712,0.7710707139641835,0.24023754547739343,optimized,,False
momentum_max_sharpe,2022-03-31,2022-02-28,251,5,20.048480238514653,0.007232385442796704,0.14499833662723055,5.0,0.31373927578290856,0.8846261884463205,0.18970613920465415,-0.0005916582739772247,0.47829468019431376,0.20376295669275526,optimized,,False
momentum_max_sharpe,2022-04-29,2022-03-31,251,5,15.191908465663138,0.009134836561336469,0.13877560088861662,5.0,0.2505099573760835,0.8657414965474932,0.020347250192130375,0.08506681758893486,0.6370138843199082,0.25072738084934343,optimized,,False
