,momentum_3m_equal,momentum_12_1_equal,momentum_max_sharpe,momentum_min_vol,ml,benchmark
2024-12-31,0.015826313410719075,-0.023253022952632624,-0.04957910706877712,-0.0364375804124702,-0.0073810232691638444,-0.02499013704848363
2025-01-31,0.07247494461568739,0.06936980218388071,0.09487893938961418,0.09219641331004964,0.04548329624652318,0.0270163042404441
2025-02-28,-0.0841163230957357,-0.0740744441804676,-0.019086209479166755,-0.01793876688599862,-0.013499417268498012,-0.014242092699825126
2025-03-31,-0.041568124463012036,-0.10423524959065551,-0.03400155092293215,-0.028906539695502147,-0.08417450208953181,-0.05754469768137538
2025-04-30,-0.07237969830396618,0.04151982711476115,-0.026583832531799384,-0.046456637346343296,-0.04025651979936046,-0.007624943346289825
2025-05-30,0.006022180051397694,0.086904019235107,0.019593420695314667,0.005331789977579045,0.035128537515400994,0.06152382614078289
2025-06-30,0.022088661104106132,-0.005223452117209104,-0.038132081089773145,0.006875613474327753,0.041024500671360396,0.049606839467715824
2025-07-31,0.04827481231583749,-0.0038840273448234324,0.03625910131720289,0.04862708787703225,0.045973482747790735,0.0216665625306407
2025-08-29,-0.023943333221367165,0.004989565679571927,-0.01694391604870145,-0.01933796154193902,0.048973286555812026,0.019066444295036122
2025-09-30,0.06427338622244824,0.08046286805566699,0.06987669088204485,0.041296344092604055,0.050109189627471545,0.035323687218701494
2025-10-31,0.05537566704710436,0.02238930849016582,0.05558414178141497,0.05145302452247904,-0.0113318566989798,0.0226868719049238
2025-11-28,0.024375953099097583,-0.008101756112532353,0.06143377458055189,0.05906811190957076,0.02350043602352076,0.0012996181666717899
2025-12-31,0.0022365025673195885,0.02177734742771127,-0.00545231030774323,-0.00010772997303107795,0.024751437206839633,-0.0005241344225139777
