strategy,removed_ticker,start_date,end_date,observations,annual_return,annual_volatility,sharpe,sortino,max_drawdown,calmar,annual_active_return,tracking_error,information_ratio,beta,annual_alpha,baseline_annual_return,baseline_sharpe,baseline_max_drawdown,baseline_information_ratio,annual_return_delta,sharpe_delta,max_drawdown_delta,information_ratio_delta
momentum_12_1_equal,COST,2018-09-28,2025-12-31,88,0.28059620318579026,0.2457007089261583,1.133338316012395,2.3751879111538368,-0.2263097152289263,1.2398769664039824,0.14658355398114414,0.15329008589846785,0.9562494085771092,1.1434711002507643,0.127662804257678,0.30318265765590335,1.2092839937585151,-0.20763364403817963,1.0772298287484574,-0.022586454470113093,-0.07594567774612004,-0.018676071190746657,-0.12098042017134825
ml,COST,2018-09-28,2025-12-31,88,0.37747115382042384,0.22869362731917228,1.5269359187637221,3.4935694700670767,-0.22129255137109105,1.7057562556067825,0.2173220402297289,0.13267374140758822,1.6380184799499384,1.1055561110249754,0.20340146141632895,0.3082573020577686,1.2909004212855009,-0.19862249554466727,1.2458206937952305,0.06921385176265527,0.23603549747822128,-0.022670055826423785,0.3921977861547079
momentum_3m_equal,CVX,2018-09-28,2025-12-31,88,0.34079401290183897,0.23906083780746584,1.3540220604386533,3.0095305204499896,-0.2056512969213642,1.6571449730859218,0.19181517446197588,0.17247808161389894,1.1121133344430627,0.9782081284733952,0.19468905321832575,0.34041779836627173,1.3380714175106458,-0.2056512969213642,1.1095787854817165,0.00037621453556724305,0.015950642928007408,0.0,0.0025345489613461947
momentum_12_1_equal,CVX,2018-09-28,2025-12-31,88,0.29782207816341555,0.2426160014773633,1.2012212622371314,2.535267124312999,-0.22423692062367828,1.328158080904216,0.1595570258172844,0.1520830740600571,1.049143876157289,1.1236155631187401,0.14325479402560648,0.30318265765590335,1.2092839937585151,-0.20763364403817963,1.0772298287484574,-0.005360579492487805,-0.008062731521383704,-0.01660327658549865,-0.028085952591168306
ml,CVX,2018-09-28,2025-12-31,88,0.3805102478507445,0.2225858679642925,1.5730297583842474,3.7606146108431715,-0.20605944878559268,1.846604220739569,0.2182557203873393,0.13174557161550135,1.6566455912789027,1.0617363178919046,0.21011402901089188,0.3082573020577686,1.2909004212855009,-0.19862249554466727,1.2458206937952305,0.07225294579297592,0.28212933709874655,-0.007436953240925415,0.4108248974836721
momentum_3m_equal,GOOGL,2018-09-28,2025-12-31,88,0.32141072478490207,0.23779703325188795,1.2975333383978669,2.8015214233561525,-0.20549952439628782,1.5640460761606905,0.17667110470015102,0.1717506488392611,1.028648834191566,0.9720606416961549,0.18035570462987438,0.34041779836627173,1.3380714175106458,-0.2056512969213642,1.1095787854817165,-0.01900707358136966,-0.04053807911277896,0.00015177252507636574,-0.08092995129015046
momentum_12_1_equal,GOOGL,2018-09-28,2025-12-31,88,0.2856536660078355,0.24392198194150683,1.1566157350332604,2.422319868999076,-0.21876032668799839,1.3057836872553317,0.15024552871776592,0.15316587221075278,0.9809334582773861,1.1289364240354582,0.1332415899095346,0.30318265765590335,1.2092839937585151,-0.20763364403817963,1.0772298287484574,-0.01752899164806787,-0.05266825872525471,-0.011126682649818753,-0.09629637047107131
ml,GOOGL,2018-09-28,2025-12-31,88,0.37327255466233367,0.23908958579194406,1.4577645093665095,3.1053998323580183,-0.24977599606251222,1.4944292507952348,0.21665783901035554,0.131127304111734,1.6522709780240785,1.1975455213431803,0.1906058371661302,0.3082573020577686,1.2909004212855009,-0.19862249554466727,1.2458206937952305,0.06501525260456509,0.1668640880810086,-0.05115350051784495,0.406450284228848
momentum_3m_equal,HD,2018-09-28,2025-12-31,88,0.3484648800851906,0.2418872114075448,1.365317271345418,2.9677131685103815,-0.2056512969213642,1.6944453319856023,0.1983743137360216,0.17337397596387902,1.144198906630319,0.9965238229339275,0.19883274666186282,0.34041779836627173,1.3380714175106458,-0.2056512969213642,1.1095787854817165,0.00804708171891888,0.027245853834772182,0.0,0.03462012114860258
momentum_12_1_equal,HD,2018-09-28,2025-12-31,88,0.31685385918226405,0.24482745403134418,1.2530704492597677,2.692585423133937,-0.19295816279847255,1.642085800294385,0.17490757409790184,0.1527370278821905,1.1451550192060298,1.1389492030240542,0.15658316527899613,0.30318265765590335,1.2092839937585151,-0.20763364403817963,1.0772298287484574,0.013671201526360699,0.0437864555012526,0.014675481239707078,0.06792519045757239
